Request Number,Send Timestamp,Receive Timestamp,Duration (ms)
1,938.237505933,938.34177725,104.27131699998426
2,938.348477184,938.458538852,110.06166799995754
3,938.465110343,938.587179935,122.06959200000256
4,938.593723804,938.736715114,142.99131000007037
5,938.74471252,938.852414306,107.7017860000069
6,938.85857682,939.043528691,184.95187099995292
7,939.051686108,939.181483947,129.79783899993436
8,939.187852533,939.351329842,163.47730900008628
9,939.357291083,939.460390905,103.09982200010381
10,939.468297081,939.658279775,189.98269400003664
11,939.667772749,939.762748789,94.97604000000592
12,939.768580904,939.972066831,203.48592699997425
13,939.98088671,940.083345211,102.45850100000098
14,940.088610092,940.190062987,101.45289500007948
15,940.19671715,940.311750782,115.03363199994965
16,940.322419695,940.431760856,109.34116099997482
17,940.444761945,940.562424877,117.6629320000302
18,940.571507796,940.683065188,111.5573920000088
19,940.689417943,940.807669235,118.25129200008178
20,940.817038857,940.940233588,123.19473100001233
21,940.946921163,941.091942596,145.0214330000108
22,941.09939694,941.203219152,103.82221199995456
23,941.209593187,941.401112246,191.5190590000293
24,941.40836997,941.500717322,92.34735200004707
25,941.508252888,941.617214803,108.96191500000896
26,941.623401687,941.808249963,184.84827600002518
27,941.816062692,942.01681556,200.75286800010872
28,942.022272895,942.129057123,106.78422800003773
29,942.135260193,942.326414304,191.15411099994617
30,942.332808305,942.527343589,194.5352840000396
31,942.533602946,942.633835437,100.2324910000425
32,942.639390926,942.751777835,112.38690899995163
33,942.756644209,942.86569557,109.05136099995616
34,942.871440256,942.980847289,109.40703300002497
35,942.985947388,943.13927329,153.32590200000595
36,943.145780415,943.24677954,100.99912500004393
37,943.252148969,943.447781958,195.63298899993242
38,943.453826312,943.558358652,104.53233999999156
39,943.565051713,943.687258351,122.206637999966
40,943.694357515,943.812357435,117.99991999998838
41,943.817692648,943.923266879,105.57423099999141
42,943.93558498,944.044413273,108.82829299998775
43,944.058430564,944.166445268,108.01470399997015
44,944.173354738,944.281443894,108.08915600000546
45,944.288318919,944.410820524,122.50160500002494
46,944.418699536,944.574664816,155.96528000003218
47,944.580151892,944.778697892,198.5459999999648
48,944.786296966,944.985414395,199.11742900001173
49,944.990728625,945.102145025,111.41640000005282
50,945.107135761,945.2209842,113.84843899998032
51,945.226837155,945.339256694,112.41953900002954
52,945.345239125,945.457090603,111.85147799994866
53,945.464664184,945.598997602,134.33341800009657
54,945.604295639,945.712178474,107.88283499994122
55,945.718970636,945.819941153,100.97051699995063
56,945.827832255,945.935090976,107.25872099999378
57,945.942619356,946.049883509,107.26415299996006
58,946.055389567,946.200164809,144.7752419999233
59,946.20668292,946.351149537,144.46661699992092
60,946.358197845,946.483828946,125.63110100006725
61,946.490147292,946.608274991,118.1276990000697
62,946.615410483,946.744842111,129.43162800002028
63,946.751647699,946.852669,101.0213009999461
64,946.857463132,946.96580412,108.34098800000902
65,946.970728702,947.073259093,102.530391000073
66,947.078600403,947.193997453,115.39704999995593
67,947.201370158,947.309976904,108.606745999964
68,947.317050666,947.428084796,111.03413000000728
69,947.433619529,947.537156687,103.53715799999463
70,947.54443562,947.648803798,104.36817800007248
71,947.657914357,947.778089955,120.17559800005984
72,947.784321396,947.90176871,117.44731400006003
73,947.907752795,948.033575697,125.8229019999817
74,948.039548195,948.166250951,126.70275600009973
75,948.172698743,948.465478581,292.7798380000013
76,948.471234705,948.586195648,114.96094299991455
77,948.592492966,948.771728667,179.23570100003872
78,948.778908451,948.95154274,172.63428900002964
79,948.958939487,949.076558374,117.61888700004874
80,949.083066284,949.174956375,91.89009099998202
81,949.18121548,949.288775626,107.56014599996888
82,949.296415036,949.416175283,119.76024700004473
83,949.423350641,949.533182642,109.83200100008617
84,949.539607723,949.693142934,153.53521099996215
85,949.700613547,949.805039028,104.42548100002114
86,949.81154201,949.925722763,114.18075299991415
87,949.931619344,950.043044882,111.42553800004862
88,950.051590843,950.156844152,105.25330899997698
89,950.166870538,950.312397424,145.52688599997055
90,950.319729176,950.420146608,100.417431999972
91,950.426823198,950.533790074,106.96687600000132
92,950.53982532,950.651324856,111.49953599999662
93,950.656831799,950.778974825,122.14302600000337
94,950.784702057,950.931696693,146.99463600004492
95,950.939994861,951.126908858,186.9139970000333
96,951.133318348,951.24333748,110.01913200004765
97,951.249369783,951.344153804,94.78402100000949
98,951.349622608,951.465938114,116.31550599997809
99,951.471937016,951.639298202,167.36118599999372
100,951.646419889,951.748927645,102.50775600002271
101,951.754199189,951.950542105,196.34291599993503
102,951.957530118,952.042905833,85.37571499994101
103,952.052076722,952.161825171,109.74844899999425
