Request Number,Send Timestamp,Receive Timestamp,Duration (ms)
1,726.24698378,726.350086142,103.1023619999587
2,726.350191641,726.350629182,0.43754099999659957
3,726.350748373,726.35078759,0.03921699999409611
4,726.350837037,726.350859196,0.0221589999682692
5,726.35095644,726.35097768,0.021240000023681205
6,726.351037959,726.3510573,0.01934099998379679
7,726.351090552,726.351107399,0.016847000097186537
8,726.351138643,726.351155156,0.016512999991391553
9,726.351185634,726.351201747,0.016113000015138823
10,726.351231894,726.351248667,0.016773000083958323
11,726.351278343,726.35129486,0.016517000062776788
12,726.35132455,726.351341538,0.016988000083983934
13,726.351370887,726.351387413,0.01652599996759818
14,726.351414932,726.3514314,0.01646800001253723
15,726.351461598,726.35147821,0.016611999967608426
16,726.351508224,726.351524849,0.016625000057501893
17,726.351555044,726.351571717,0.016673000004630012
18,726.351601541,726.351618171,0.01663000000462489
19,726.351647375,726.351663832,0.0164570000151798
20,726.351692729,726.351709062,0.01633300007597427
21,726.351738537,726.351754909,0.016372000004594156
22,726.351784422,726.351800848,0.01642600000195671
23,726.351830739,726.351847001,0.016262000031019852
24,726.351876744,726.351893134,0.016389999927923782
25,726.35192406,726.351940636,0.016576000007262337
26,726.351970364,726.351986869,0.016505000075994758
27,726.352039973,726.352058439,0.01846599991495168
28,726.352089307,726.352105895,0.016587999994044367
29,726.352136293,726.352152932,0.01663900002313312
30,726.35218287,726.352199219,0.016349000020454696
31,726.352228579,726.352244863,0.016284000025734713
32,726.352274002,726.352290548,0.01654600009715068
33,726.3523212,726.35233772,0.016520000031050586
34,726.352367299,726.352383592,0.016293000044242945
35,726.352413003,726.352429401,0.016397999957007414
36,726.352459005,726.35247558,0.016575000017837738
37,726.352505155,726.352521644,0.016489000017827493
38,726.352551366,726.352567664,0.01629800010505278
39,726.352597263,726.352613652,0.016388999938499182
40,726.35264377,726.352660018,0.016248000065388624
41,726.352690859,726.352707491,0.016632000097160926
42,726.352737607,726.352753935,0.016328000015164434
43,726.352783499,726.352799781,0.016282000046885514
44,726.352829143,726.352845424,0.016280999943774077
45,726.352875458,726.352891874,0.016415999994023878
46,726.352921279,726.352937643,0.016363999975510524
47,726.352982937,726.353016266,0.033329000075355
48,726.353049389,726.353067028,0.017639000020608364
49,726.353097403,726.353113812,0.016408999954364845
50,726.353143987,726.353160535,0.01654800007599988
51,726.353189697,726.353205964,0.016267000091829686
52,726.353235426,726.353251759,0.01633300007597427
53,726.353288954,726.353305585,0.01663099999404949
54,726.353334876,726.353351272,0.016396000091845053
55,726.353380692,726.353397006,0.016314000049533206
56,726.353426711,726.353443101,0.01639000004161062
57,726.353472628,726.353488991,0.016362999986085924
58,726.35351867,726.353535241,0.01657100006013934
59,726.35356459,726.353581014,0.01642400002310751
60,726.353610254,726.353626532,0.01627799997550028
61,726.35365589,726.353672212,0.01632199996493
62,726.353700444,726.353722632,0.022188000002643093
63,726.353752796,726.35376894,0.016144000028361916
64,726.353798016,726.353814398,0.016382000012526987
65,726.353845016,726.353861706,0.01668999993853504
66,726.353891183,726.353907508,0.016325000046890636
67,726.353936989,726.353953106,0.01611699997283722
68,726.353983088,726.353999373,0.016285000015159312
69,726.354058815,726.354076982,0.01816700000745186
70,726.354107132,726.354123646,0.016513999980816152
71,726.354153377,726.354169905,0.016528000060134218
72,726.354199476,726.354216069,0.0165930000548542
73,726.354244966,726.354261328,0.016361999996661325
74,726.354290744,726.354307191,0.01644700000724697
75,726.354336307,726.354352655,0.01634799991734326
76,726.354382544,726.354398888,0.01634399995964486
77,726.354447845,726.354464382,0.016536999964955612
78,726.35449412,726.354510419,0.01629899998079054
79,726.354539597,726.354555983,0.016385999970225384
80,726.354585483,726.354601585,0.016101999904094555
81,726.35463101,726.354647437,0.016426999991381308
82,726.354676959,726.354693164,0.016204999951696664
83,726.354722236,726.354738521,0.016284999901472474
84,726.354767994,726.354784296,0.016302000062751176
85,726.354813585,726.354829718,0.016133000031004485
86,726.354858889,726.354875835,0.01694600007340341
87,726.354905098,726.354921298,0.016200000004573667
88,726.354950762,726.354967044,0.016281999933198676
89,726.354996811,726.355027159,0.030347999995683494
90,726.355073866,726.355091495,0.017629000012675533
91,726.355122028,726.355138417,0.01638900005218602
92,726.35516761,726.35518367,0.01606000000720087
93,726.355213894,726.355229996,0.016102000017781393
94,726.355259513,726.355275145,0.015631999985998846
